Rounds,Learning Rate,Client Fraction,Client Number,Local Epochs,Batch Size,Hidden Size,Weighting,Lexical Weighting
40,0.001,1.0,3,5,32,128,False,True
1,3.3854795892910676,0.05078103207051754,0.05078103207051754,0.05053452588617802,0.05053452588617802,"[0.1341601014137268, 0.018182994797825813, 0.0]","[0.13685022294521332, 0.0, 0.014753354713320732]"
2,2.452234123365853,0.08564562226335208,0.08564562226335208,0.06462497264146805,0.06462497264146805,"[0.17413394153118134, 0.05821888893842697, 0.024584036320447922]","[0.13848917186260223, 0.03975578397512436, 0.01562996208667755]"
3,1.8939593592015012,0.14064309994379678,0.14064309994379678,0.05724629511435827,0.06462497264146805,"[0.21650749444961548, 0.13012941181659698, 0.07529239356517792]","[0.1388607770204544, 0.0, 0.03287810832262039]"
4,1.4945521958344228,0.18228347351153693,0.18228347351153693,0.05865095121165117,0.06462497264146805,"[0.2541210949420929, 0.1939375251531601, 0.09879180043935776]","[0.12701930105686188, 0.011803241446614265, 0.037130311131477356]"
5,1.1966930922475378,0.2476926495631536,0.2476926495631536,0.06978535279631615,0.06978535279631615,"[0.3141700327396393, 0.28272196650505066, 0.1461859494447708]","[0.15115885436534882, 0.020802877843379974, 0.03739432618021965]"
6,0.9671413982874938,0.2959284136692683,0.2959284136692683,0.0665783913185199,0.06978535279631615,"[0.33927589654922485, 0.32857030630111694, 0.21993903815746307]","[0.13523903489112854, 0.020358460023999214, 0.044137679040431976]"
7,0.7990877515572302,0.36927181482315063,0.36927181482315063,0.06515045526127021,0.06978535279631615,"[0.38399538397789, 0.43090859055519104, 0.29291146993637085]","[0.13368342816829681, 0.03403346613049507, 0.02773447148501873]"
Rounds,Learning Rate,Client Fraction,Client Number,Local Epochs,Batch Size,Hidden Size,Weighting,Lexical Weighting
11,0.001,1.0,3,5,32,128,False,True
