Rounds,Learning Rate,Client Fraction,Client Number,Local Epochs,Batch Size,Hidden Size,Weighting,Lexical Weighting
50,0.001,1.0,3,1,32,128,False,True
1,2.748599586416241,0.04013460377852122,0.04013460377852122,0.019174805531899135,0.019174805531899135,"[0.044288840144872665, 0.048626482486724854, 0.02748848870396614]","[0.0, 0.0575244165956974, 0.0]"
2,1.9638373907917341,0.060320109128952026,0.060320109128952026,0.06451503559947014,0.06451503559947014,"[0.07120838761329651, 0.0718514546751976, 0.03790048509836197]","[0.06277891248464584, 0.08208125829696655, 0.04868493601679802]"
3,1.721101610526505,0.08347299198309581,0.08347299198309581,0.0912000834941864,0.0912000834941864,"[0.08348960429430008, 0.10959863662719727, 0.05733073502779007]","[0.107615165412426, 0.11217557638883591, 0.0538095086812973]"
4,1.5652559205789263,0.11048095921675365,0.11048095921675365,0.10119159395496051,0.10119159395496051,"[0.1035836786031723, 0.14092257618904114, 0.08693662285804749]","[0.11373184621334076, 0.13495703041553497, 0.05488590523600578]"
5,1.4449932901033715,0.1212574690580368,0.1212574690580368,0.1178549403945605,0.1178549403945605,"[0.1297096163034439, 0.16018426418304443, 0.07387852668762207]","[0.1254129409790039, 0.14723989367485046, 0.08091198652982712]"
6,1.3423698445512116,0.13224828988313675,0.13224828988313675,0.12188363075256348,0.12188363075256348,"[0.13533279299736023, 0.16947652399539948, 0.09193555265665054]","[0.11314857006072998, 0.16240927577018738, 0.09009304642677307]"
7,1.2553862691558935,0.19144191344579062,0.19144191344579062,0.15882355471452078,0.15882355471452078,"[0.19095425307750702, 0.2457476705312729, 0.13762381672859192]","[0.14504589140415192, 0.20242030918598175, 0.12900446355342865]"
8,1.1806477958348343,0.1826716810464859,0.19144191344579062,0.16791324317455292,0.16791324317455292,"[0.20273666083812714, 0.2371513694524765, 0.10812701284885406]","[0.16475804150104523, 0.23645924031734467, 0.10252244770526886]"
9,1.1122084142010038,0.20652342836062113,0.20652342836062113,0.18444987138112387,0.18444987138112387,"[0.2028992772102356, 0.2815682888031006, 0.13510271906852722]","[0.15877340734004974, 0.26713189482688904, 0.1274443119764328]"
10,1.049149033947341,0.2166010489066442,0.2166010489066442,0.21194599568843842,0.21194599568843842,"[0.2207309752702713, 0.2842768132686615, 0.14479535818099976]","[0.21383905410766602, 0.2845532298088074, 0.13744570314884186]"
11,0.992526110962405,0.2533028523127238,0.2533028523127238,0.19914346933364868,0.21194599568843842,"[0.24051810801029205, 0.320394903421402, 0.19899554550647736]","[0.1849389374256134, 0.26303786039352417, 0.14945361018180847]"
12,0.9423230308203107,0.2566717912753423,0.2566717912753423,0.2177655796209971,0.2177655796209971,"[0.25763916969299316, 0.30445417761802673, 0.20792202651500702]","[0.22191566228866577, 0.2586952745914459, 0.17268580198287964]"
13,0.8961408917952177,0.265744944413503,0.265744944413503,0.23621448377768198,0.23621448377768198,"[0.26776790618896484, 0.325602263212204, 0.2038646638393402]","[0.19790974259376526, 0.3410508632659912, 0.1696828454732895]"
14,0.8540358440178504,0.29355477293332416,0.29355477293332416,0.21044673025608063,0.23621448377768198,"[0.29987454414367676, 0.3763980269432068, 0.204391747713089]","[0.23881258070468903, 0.254423052072525, 0.13810455799102783]"
15,0.8152610792237085,0.2914045254389445,0.29355477293332416,0.2515997489293416,0.2515997489293416,"[0.2754848599433899, 0.3407752513885498, 0.2579534649848938]","[0.2459939569234848, 0.33695441484451294, 0.17185087502002716]"
16,0.7811843949502202,0.2975193609793981,0.2975193609793981,0.2355867624282837,0.2515997489293416,"[0.32594799995422363, 0.3621775507926941, 0.20443253219127655]","[0.2727302610874176, 0.2608829140663147, 0.17314711213111877]"
17,0.751377353065525,0.32343486448129016,0.32343486448129016,0.2487278034289678,0.2515997489293416,"[0.3554331362247467, 0.4096001386642456, 0.20527131855487823]","[0.2697383761405945, 0.31473508477211, 0.1617099493741989]"
18,0.7223037235977602,0.31146711111068726,0.32343486448129016,0.23635093371073404,0.2515997489293416,"[0.32096314430236816, 0.3757205605506897, 0.2377176284790039]","[0.258215993642807, 0.2817156910896301, 0.16912111639976501]"
19,0.6960640651578277,0.3261520266532898,0.3261520266532898,0.2585555166006088,0.2585555166006088,"[0.3480200171470642, 0.39298248291015625, 0.23745357990264893]","[0.2830999493598938, 0.2987726330757141, 0.19379396736621857]"
20,0.6739250981671235,0.36768751343091327,0.36768751343091327,0.268119752407074,0.268119752407074,"[0.39199888706207275, 0.398857057094574, 0.31220659613609314]","[0.28600698709487915, 0.3314281702041626, 0.18692409992218018]"
21,0.653183249781248,0.3438307543595632,0.36768751343091327,0.2445064534743627,0.268119752407074,"[0.37135443091392517, 0.4047708511352539, 0.2553669810295105]","[0.23602667450904846, 0.28409114480018616, 0.21340154111385345]"
22,0.6323696278472538,0.3420136471589406,0.36768751343091327,0.2631809363762538,0.268119752407074,"[0.3631651997566223, 0.39783379435539246, 0.26504194736480713]","[0.25641027092933655, 0.3236101567745209, 0.20952238142490387]"
23,0.615169388280944,0.37929391860961914,0.37929391860961914,0.26927868525187176,0.26927868525187176,"[0.39997372031211853, 0.4363534152507782, 0.3015546202659607]","[0.2920985519886017, 0.32149600982666016, 0.1942414939403534]"
24,0.600349141888029,0.36926546692848206,0.37929391860961914,0.2640407731135686,0.26927868525187176,"[0.39582663774490356, 0.3903699517250061, 0.3215998113155365]","[0.2542584240436554, 0.3302278518676758, 0.2076360434293747]"
