Rounds,Learning Rate,Client Fraction,Client Number,Local Epochs,Batch Size,Hidden Size,Weighting,Lexical Weighting
5,0.001,1.0,3,1,32,256,False,False
1,1.9883498915590803,4.380282416770394,4.380282416770394,4.200249221441176,4.200249221441176,"[9.106316481579995, 1.6878155995733128, 2.3467151691578763]","[7.667603303978561, 0.3990749107372923, 4.534069449607674]"
2,1.6484585717722702,6.519737445519941,6.519737445519941,5.762083915103247,5.762083915103247,"[14.45644216484726, 2.892706610191241, 2.2100635615213218]","[11.826124463164104, 1.9054194056621565, 3.5547078764834796]"
Rounds,Learning Rate,Client Fraction,Client Number,Local Epochs,Batch Size,Hidden Size,Weighting,Lexical Weighting
5,0.001,1.0,3,1,32,256,False,False
1,1.9883498915590803,4.380282416770394,4.380282416770394,4.200249221441176,4.200249221441176,"[9.106316481579995, 1.6878155995733128, 2.3467151691578763]","[7.667603303978561, 0.3990749107372923, 4.534069449607674]"
2,1.6484585717722702,6.519737445519941,6.519737445519941,5.762083915103247,5.762083915103247,"[14.45644216484726, 2.892706610191241, 2.2100635615213218]","[11.826124463164104, 1.9054194056621565, 3.5547078764834796]"
Rounds,Learning Rate,Client Fraction,Client Number,Local Epochs,Batch Size,Hidden Size,Weighting,Lexical Weighting
5,0.001,1.0,3,1,32,256,False,False
